id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
815234312027181056,815234312027181056,2016-12-31 08:33:00 PST,2016-12-31,08:33:00,-0700,3295993652,arzwebtech,ARZ WEBTECH,,How and why #startups should embrace technical debt  https://t.co/somwGAm4TU via @ericries,en,"[{'screen_name': 'ericries', 'name': 'eric ries', 'id': '14278978'}]",['http://buff.ly/2hyHfAl'],[],0,0,0,['startups'],[],https://twitter.com/arzwebtech/status/815234312027181056,False,,0,,,,,,,,[],,,,
815234309695094784,815234309695094784,2016-12-31 08:33:00 PST,2016-12-31,08:33:00,-0700,18316059,sdtimes,SD Times,,CISQ looks to create a true measure of software technical debt  https://t.co/5jCVwUFkfx,en,[],['http://hubs.ly/H05HMFq0'],[],0,0,0,[],[],https://twitter.com/sdtimes/status/815234309695094784,False,,0,,,,,,,,[],,,,
815230867245174785,815218732695834624,2016-12-31 08:19:19 PST,2016-12-31,08:19:19,-0700,14303901,jhamby,Jake Hamby,,"Anyway, that's why Android has bad technical debt in the area of telephony. Not many people know enough about it to know how ugly it is.",en,[],[],[],2,0,0,[],[],https://twitter.com/jhamby/status/815230867245174785,False,,0,,,,,,,,[],,,,
815229951913828353,815229951913828353,2016-12-31 08:15:41 PST,2016-12-31,08:15:41,-0700,17760870,ivosantiago,Ivo Santiago 🇧🇷🔺,,“Technical debt 101” by @joaomilho  https://t.co/FzUzgmjubj,en,"[{'screen_name': 'joaomilho', 'name': 'joão milho', 'id': '1397931274107441161'}]",['https://medium.com/@joaomilho/festina-lente-e29070811b84#.wy0fh1x85'],[],0,0,0,[],[],https://twitter.com/ivosantiago/status/815229951913828353,False,,0,,,,,,,,[],,,,
815229880522670080,815229880522670080,2016-12-31 08:15:24 PST,2016-12-31,08:15:24,-0700,17073863,mark_heath,Mark Heath,,Three surprising causes of Technical Debt  https://t.co/enlz5I1EkC,en,[],['http://markheath.net/post/three-surprising-causes-of-technical'],[],0,1,3,[],[],https://twitter.com/mark_heath/status/815229880522670080,False,,0,,,,,,,,[],,,,
815226132702248961,815218732695834624,2016-12-31 08:00:30 PST,2016-12-31,08:00:30,-0700,14303901,jhamby,Jake Hamby,,"So they spent next to no money on the core phone functionality, as it ties into the baseband. They also accumulated a lot of technical debt.",en,[],[],[],1,0,1,[],[],https://twitter.com/jhamby/status/815226132702248961,False,,0,,,,,,,,[],,,,
815190573946695681,815190573946695681,2016-12-31 05:39:12 PST,2016-12-31,05:39:12,-0700,37667208,debpontes,Deb Pontes,,Organizational Debt is like Technical debt – but worse  https://t.co/Mn9D3BtWqf,en,[],['https://lnkd.in/dUdtf-d'],[],0,0,0,[],[],https://twitter.com/debpontes/status/815190573946695681,False,,0,,,,,,,,[],,,,
815152603797585920,815152603797585920,2016-12-31 03:08:20 PST,2016-12-31,03:08:20,-0700,288215514,gregoryadam2,Gregory ADAM,,How Xero tackles technical debt  https://t.co/XzOsxmuQJW,en,[],['http://shorty29.com/a7c5dd'],[],0,0,0,[],[],https://twitter.com/gregoryadam2/status/815152603797585920,False,,0,,,,,,,,[],,,,
815149750404034560,815149750404034560,2016-12-31 02:56:59 PST,2016-12-31,02:56:59,-0700,4831076077,technical_edu,Education News,,#Lendedu Tackle Christmas Credit Card Debt With These Steps. Read Blog:  https://t.co/NhMSuynlsY,en,[],['http://owler.us/ab1nYC'],[],0,0,0,['lendedu'],[],https://twitter.com/technical_edu/status/815149750404034560,False,,0,,,,,,,,[],,,,
815143954555486208,815143954555486208,2016-12-31 02:33:58 PST,2016-12-31,02:33:58,-0700,437690855,metlucero,mario lucero,,#Agile - Who is the owner of technical debt? -  https://t.co/wLDWF5jGTA,en,[],['http://agilelucero.com/scrum/who-is-the-owner-of-technical-debt/'],[],0,0,0,['agile'],[],https://twitter.com/metlucero/status/815143954555486208,False,,0,,,,,,,,[],,,,
815142437651968000,815142437651968000,2016-12-31 02:27:56 PST,2016-12-31,02:27:56,-0700,19689274,vgrigoriu,Victor Grigoriu,,Michael Feathers - Toward a Galvanizing Definition of Technical Debt  https://t.co/QPC9jBZw5i via @Instapaper,en,"[{'screen_name': 'instapaper', 'name': 'instapaper', 'id': '16240267'}]",['https://michaelfeathers.silvrback.com/toward-a-galvanizing-definition-of-technical-debt'],[],0,0,0,[],[],https://twitter.com/vgrigoriu/status/815142437651968000,False,,0,,,,,,,,[],,,,
815102905959219200,815102173361172480,2016-12-30 23:50:51 PST,2016-12-30,23:50:51,-0700,14400287,casperone,Nick ➡ OFL 👑/BLM/ACAB/🏋️,,"Could I have incurred technical debt here to move the project forward?  Sure, but that would hurt us sooner than later.",en,[],[],[],1,0,0,[],[],https://twitter.com/casperOne/status/815102905959219200,False,,0,,,,,,,,[],,,,
815078006595133440,815078006595133440,2016-12-30 22:11:54 PST,2016-12-30,22:11:54,-0700,22242770,8brian,Brian Lim,,Conceptual Debt is Worse than Technical Debt by @NicolaeRusan ➼  https://t.co/BbMvTtdiyk | #SaaS #Dev,en,"[{'screen_name': 'nicolaerusan', 'name': 'nicolae rusan', 'id': '16808274'}]",['http://buff.ly/2hlPTY2'],[],0,0,0,"['saas', 'dev']",[],https://twitter.com/8brian/status/815078006595133440,False,,0,,,,,,,,[],,,,
815031473082351617,815031473082351617,2016-12-30 19:07:00 PST,2016-12-30,19:07:00,-0700,18316059,sdtimes,SD Times,,CISQ looks to create a true measure of software technical debt  https://t.co/wMQ8XeWI1T,en,[],['http://hubs.ly/H05JhFd0'],[],0,0,2,[],[],https://twitter.com/sdtimes/status/815031473082351617,False,,0,,,,,,,,[],,,,
815007445491871744,815007445491871744,2016-12-30 17:31:31 PST,2016-12-30,17:31:31,-0700,496279965,agilesoftproj,rob,,Check out: Michael Feathers - Toward a Galvanizing Definition of Technical Debt  https://t.co/cpC3fnAFuL and  https://t.co/oU7MNv1DCI #agile,en,[],"['http://ift.tt/2inTqky', 'http://ow.ly/9geMg']",[],0,0,0,['agile'],[],https://twitter.com/agilesoftproj/status/815007445491871744,False,,0,,,,,,,,[],,,,
814959903022452736,814959903022452736,2016-12-30 14:22:36 PST,2016-12-30,14:22:36,-0700,45824208,themarketka,themarketka 🦉,,That is the side-effect of technical debt… you should’ve been using LED lights long ago 🤔  https://t.co/fpyuBVNcOr,en,[],['https://twitter.com/gonzohacker/status/814152103073615872'],[],0,0,0,[],[],https://twitter.com/themarketka/status/814959903022452736,False,https://twitter.com/gonzohacker/status/814152103073615872,0,,,,,,,,[],,,,
814905476521533440,814904183853817857,2016-12-30 10:46:20 PST,2016-12-30,10:46:20,-0700,15620983,richeklein,Rich Klein,,"@taylorotwell Impressive attention to detail! In your opinion, is Laravel approaching zero technical debt?",en,[],[],[],0,0,2,[],[],https://twitter.com/richeklein/status/814905476521533440,False,,0,,,,,,,,"[{'screen_name': 'taylorotwell', 'name': 'Taylor Otwell \U0001fa90', 'id': '28870687'}]",,,,
